n,m,diff,ns
79,92,41,23816
79,92,41,25283
79,92,41,23746
79,92,41,23676
79,92,41,23955
79,92,41,23746
79,92,41,23816
79,92,41,24584
79,92,41,24654
79,92,41,24095
79,92,41,23746
79,92,41,23536
79,92,41,23816
79,92,41,23746
79,92,41,23676
79,92,41,23885
79,92,41,23816
79,92,41,23956
79,92,41,23816
79,92,41,23816
79,92,41,23816
79,92,41,23746
79,92,41,23815
89,108,48,26959
89,108,48,41905
89,108,48,35129
89,108,48,46235
89,108,48,27308
89,108,48,24933
89,108,48,25282
89,108,48,25073
89,108,48,25003
89,108,48,25003
89,108,48,25072
89,108,48,25282
89,108,48,24864
89,108,48,25003
89,108,48,25213
89,108,48,25073
89,108,48,25073
89,108,48,25073
89,108,48,25212
89,108,48,25003
89,108,48,25073
89,108,48,25282
89,108,48,25003
89,108,48,25003
89,108,48,25003
89,108,48,25142
89,108,48,24864
89,108,48,25073
89,108,48,25073
89,108,48,24864
89,108,48,25003
89,108,48,25003
89,108,48,25352
89,108,48,24933
89,108,48,25073
89,108,48,24863
89,108,48,25143
89,108,48,24933
89,108,48,25143
89,108,48,25143
89,108,48,25003
89,108,48,25003
89,108,48,24933
89,108,48,25003
89,108,48,24863
89,108,48,25073
89,108,48,25073
89,108,48,25143
